2018-10-07 21:46,xcwjb01,南充,4.5,非常好看，不过那天出了点意外
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 17:04,XT好,上海,5,好看。。。。。
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 16:59,leiqu,北京,5,好看，非常棒的。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 16:58,阳光小勇,荆州,2,不好看哟，烂烂烂
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 16:52,木槿西月锦绣,包头,3.5,还不错，那一堆的眼睛看的不舒服😂
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 16:45,eQu165818522,合肥,5,玄幻！特效不错
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 16:36,夜还未央。248,大连,3,一般般吧真的一般般啊
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 15:16,Jeq961401594,武汉,5,超级超级超级好！
2018-10-07 16:34,Wisely,北京,3.5,一般吧，演技是硬伤
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 15:16,Jeq961401594,武汉,5,超级超级超级好！
2018-10-07 15:07,kitty_1203,深圳,5,好看，徐克想象力爆棚
2018-10-07 16:31,mNl744457279,温岭,4,动感不错 期待下部
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 15:16,Jeq961401594,武汉,5,超级超级超级好！
2018-10-07 15:07,kitty_1203,深圳,5,好看，徐克想象力爆棚
2018-10-07 15:02,MKC256336209,淮南,3,给我的感觉就是特效不错，阮经天是个大招
2018-10-07 16:29,yDn837698450,唐山,4.5,好看，还是不错的
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 15:16,Jeq961401594,武汉,5,超级超级超级好！
2018-10-07 15:07,kitty_1203,深圳,5,好看，徐克想象力爆棚
2018-10-07 15:02,MKC256336209,淮南,3,给我的感觉就是特效不错，阮经天是个大招
2018-10-07 14:58,珠海xiaoying,广州,4.5,争议很大，但是我觉得比其他奇幻古装片好很多了。
2018-10-07 16:13,段老板娘_dlp,武汉,4,画画美功可以
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
2018-10-07 15:44,leolux,鞍山,3.5,刚开始还蛮不错，后半部分就开始**了！
2018-10-07 15:42,花花杰比,北京,3,睡着了～～～！！
2018-10-07 15:37,julia_女王大人,武汉,4,特效棒棒的，剧情也很紧凑
2018-10-07 15:35,cc11661,南部县,4,为姑父才看的。还好。
2018-10-07 15:29,Tian酱Xi,南京,3.5,还可以！！！
2018-10-07 15:29,IOH459718246,建水县,5,很好，3D效果很好
2018-10-07 15:26,15191379998,渭南,3.5,可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
2018-10-07 15:16,Jeq961401594,武汉,5,超级超级超级好！
2018-10-07 15:07,kitty_1203,深圳,5,好看，徐克想象力爆棚
2018-10-07 15:02,MKC256336209,淮南,3,给我的感觉就是特效不错，阮经天是个大招
2018-10-07 14:58,珠海xiaoying,广州,4.5,争议很大，但是我觉得比其他奇幻古装片好很多了。
2018-10-07 14:54,yZZ822056428,海口,5,故事离奇，情节曲折，特级专业，引人入胜，值得一看的娱乐片
2018-10-07 16:00,qnn820939117,泰安,4,还行吧，怪物有些恶心
2018-10-07 15:55,米1179481014,郑州,4,电影还可以，放映机有问题，有条很大的黑线，影响观影
